title,description,user_id,customer_id,status,priority,due_date,completed_at
"qui veritatis sunt","Aut velit voluptatibus ratione quaerat necessitatibus dignissimos sunt minima. Facere et expedita eligendi est itaque. Omnis aut quod facilis dolores.",31,122,planning,high,2025-03-28,
"dolor inventore quibusdam","Voluptatem ratione quos autem qui. Voluptas autem et nisi fuga illum dicta. Sequi in animi et quo id incidunt.",21,93,on_hold,medium,2025-03-29,
"error rerum culpa","Nisi corrupti sit eveniet necessitatibus. Corporis inventore tenetur voluptas quia doloremque laboriosam rerum. Eos adipisci doloremque facilis quis.",28,146,completed,high,2025-04-02,"2025-03-07 09:43:51"
"omnis occaecati assumenda","Quos sint soluta esse accusantium quis repellendus. Voluptatem nihil et laborum qui dolor nihil consequatur expedita. Dolor voluptatem laborum et non quod iste rerum.",51,26,in_progress,low,2025-03-29,
"laboriosam amet et","Minus dolores quasi est enim. Sint voluptas delectus et facilis sunt dicta. Debitis officiis ipsa reprehenderit magnam at reiciendis.",25,46,in_progress,high,2025-04-01,
"quia voluptatem aperiam","Provident molestiae ipsum impedit et sint maiores enim. Animi est dolores optio eveniet. Architecto saepe alias quibusdam distinctio id rem ad esse.",89,147,completed,low,2025-04-02,"2025-03-09 06:31:57"
"error libero rerum","Fugit sed eos consequatur beatae. Odit perferendis iure reprehenderit. Cum ut earum deserunt debitis.",67,176,cancelled,low,2025-03-30,
"nesciunt quia a","Aut dolorem non asperiores quia non. Dolorem qui quas aut dolorum voluptatem et. Tempora autem voluptatem cumque ex aliquam maxime quam.",40,178,on_hold,low,2025-03-27,
"ut unde beatae","Voluptate velit nam id similique ad quisquam. Est quaerat dolorem doloribus delectus saepe eius eum vel. Ullam quasi esse et autem accusamus necessitatibus et.",45,199,cancelled,medium,2025-04-01,
"sunt illum quas","Consequatur beatae est consequatur consequatur sunt quia consequatur. Voluptatem consequatur quisquam sed aut quia totam. Eius minima eaque hic qui reiciendis dolor.",21,121,in_progress,high,2025-03-27,
"magni dolorem possimus","Voluptatem repudiandae odit quo dignissimos. Corrupti vel non aperiam necessitatibus nulla. Quia facilis ex optio veritatis aliquid iusto sit tempore.",67,81,planning,high,2025-03-30,
"alias in velit","Ipsam ad sit culpa asperiores. Aperiam qui accusamus accusamus sint. Sunt molestiae dicta officiis excepturi nesciunt.",20,50,cancelled,critical,2025-03-31,
"vero fugiat reprehenderit","Consequuntur dicta eligendi inventore natus natus non quis. Minus iste quam possimus quia voluptatem consequatur. Itaque iste non amet quibusdam aut.",79,87,planning,low,2025-03-31,
"est ut adipisci","Esse praesentium praesentium vel quis voluptatem id et illo. Doloribus rerum ex pariatur qui vero debitis quia voluptas. Ducimus tenetur sed consequatur rerum rerum magni.",37,143,in_progress,medium,2025-04-02,
"aliquam placeat ut","Laborum aspernatur ut error eos. Laboriosam minima et eum numquam dicta. Corrupti aut aut fugiat rerum harum.",87,109,planning,high,2025-03-31,
"mollitia voluptatem similique","Id nulla repellat dolorem accusantium dolorem. Hic dolore et ut natus voluptates. Dolore velit quae eos praesentium.",7,179,on_hold,low,2025-03-30,
"autem accusamus accusantium","Voluptatem aut et blanditiis doloremque sint qui placeat et. Quo sequi et consequuntur. Dolores hic et sed perspiciatis autem atque.",2,50,on_hold,high,2025-04-01,
"consequuntur voluptatem incidunt","Facere corporis deleniti ut. Placeat facilis aut vero est. Voluptate omnis nemo sunt earum debitis dolorum.",35,167,planning,critical,2025-04-01,
"nobis quo doloremque","Qui incidunt quia excepturi voluptas. Dolorem provident omnis qui quia et. Tempora impedit consectetur sint animi sint.",12,23,on_hold,critical,2025-04-01,
"omnis ut ipsa","Molestiae ea dolor sed vel sed eius. Minima nesciunt ut voluptates sed. At minima numquam laborum qui.",56,163,planning,high,2025-04-02,
"sit natus non","Est ea veritatis omnis molestiae a quia commodi. Odit animi fugit atque. Ipsum sed delectus distinctio voluptatem.",13,25,completed,medium,2025-03-30,"2025-03-07 19:41:31"
"enim ea aliquid","Sint provident sequi enim nihil nihil impedit dolore. Est architecto hic at laborum repellat sint. Quia dolore aut sint harum ut rerum praesentium consequuntur.",7,24,completed,medium,2025-03-31,"2025-03-07 02:39:21"
"inventore architecto eius","Voluptates atque eius voluptatem sunt. Maxime dolores nobis ut iure doloremque enim voluptas molestiae. Voluptas quas sit aperiam adipisci.",1,45,cancelled,high,2025-03-28,
"non facere et","Error blanditiis est iusto ut voluptas. A maiores maxime modi iure. Neque magnam nihil vitae mollitia aut ipsa adipisci.",51,128,cancelled,high,2025-04-01,
"natus voluptas in","Et aut enim quae cupiditate quia est. At porro alias ut eum. Asperiores itaque ea et in sint odit quidem.",37,75,completed,critical,2025-03-31,"2025-03-12 22:54:55"
"ut incidunt laboriosam","Quasi et labore laborum architecto. Dolorum beatae dicta repudiandae et sapiente alias. Quod voluptatem fugiat incidunt est sapiente vel est.",83,6,cancelled,critical,2025-03-27,
"modi vel deserunt","Ut autem est consequatur magni. Eos necessitatibus nisi vitae totam. Id animi quis saepe sunt aspernatur.",18,169,cancelled,high,2025-04-03,
"molestiae laboriosam delectus","Et repellat quis voluptas natus. Ut omnis modi saepe et rem eligendi. Reiciendis porro adipisci expedita atque quaerat optio rerum.",31,15,on_hold,high,2025-04-01,
"placeat provident vel","Doloribus placeat nisi ea ab possimus. Voluptatum non sit dolores dolor. Ipsa quaerat ab molestiae accusamus quaerat laborum.",86,101,planning,low,2025-03-27,
"tempora saepe dolorum","Nihil corrupti aut optio quia perferendis eum. Sit et enim cumque facere. Voluptas fuga sunt itaque velit.",83,71,cancelled,high,2025-04-02,
"minima exercitationem distinctio","A earum dolores qui expedita sunt qui. Consequatur maiores eum eos voluptas. Et illum molestiae ad inventore harum aliquam minima.",83,61,planning,medium,2025-03-28,
"quibusdam quae fuga","Dolores architecto sunt earum quo inventore animi nam. Maxime recusandae possimus repellendus odio. Dolor repellat beatae quia in accusamus rerum ut.",29,193,on_hold,medium,2025-04-03,
"debitis in consequatur","Sed accusamus sit esse. Harum et in assumenda. Quo totam nam aperiam sit officiis quibusdam rerum.",75,37,completed,critical,2025-04-03,"2025-03-10 03:27:04"
"omnis voluptate tenetur","Maxime id eius recusandae quo dolore. Soluta accusantium vero repellendus corrupti corporis. Sunt non cupiditate voluptatem asperiores.",94,191,completed,low,2025-03-27,"2025-03-10 21:49:22"
"commodi error veritatis","Qui modi non unde quas. Hic fugiat enim voluptas quasi dolore. Aut sed rerum voluptate error provident.",10,92,in_progress,medium,2025-03-28,
"eaque voluptatem sit","Placeat dignissimos ducimus voluptatibus. Eos consequatur voluptas quam harum non. Et nostrum ea cumque et ut amet.",76,91,in_progress,critical,2025-03-31,
"inventore nulla sequi","Est et tempore minus. Est et explicabo corrupti hic sit. Dolores accusamus voluptas quis inventore exercitationem voluptate.",40,148,on_hold,low,2025-03-31,
"commodi maiores quia","Sit voluptatem dolor alias earum. Quas provident aut totam dolorem et. Consequatur id eligendi eum dolorum atque nulla.",3,56,planning,critical,2025-03-31,
"nihil deserunt dicta","Doloremque ea nihil impedit molestias distinctio laborum officia quo. Architecto sint quam et accusamus ratione et. Laboriosam id amet quia quod at sed exercitationem eveniet.",37,162,cancelled,medium,2025-03-30,
"perspiciatis inventore eos","Quia autem saepe in repellendus maxime. Beatae rerum est harum quos beatae neque et facere. Aut in qui et exercitationem ex omnis et et.",3,103,completed,critical,2025-03-30,"2025-03-13 12:04:43"
"sint facere repudiandae","Sed voluptatem consequuntur quisquam. Consequatur qui consequatur eum modi explicabo omnis. Veniam amet doloribus exercitationem omnis magni quaerat.",53,124,on_hold,medium,2025-04-01,
"dolores ad eveniet","Consectetur quis voluptatem qui eum dolores vel sit. Id in alias sed sequi nesciunt officiis. Suscipit ducimus laudantium esse commodi provident.",28,37,on_hold,critical,2025-03-28,
"natus tenetur quisquam","Assumenda est atque dolores incidunt aliquam sunt voluptatum eum. Aliquid laborum dolores vitae voluptatibus. Dolorum quas quae quibusdam.",30,57,planning,critical,2025-03-30,
"voluptates magnam incidunt","Reprehenderit sunt soluta saepe dolor delectus quod. Doloribus recusandae harum et non odio. Vero quisquam doloremque dignissimos cum neque quibusdam reiciendis.",19,88,cancelled,low,2025-03-28,
"impedit eos itaque","Quod eum sit ut. Praesentium omnis nobis dignissimos accusantium ut omnis eaque. Saepe quae est ipsa aperiam voluptas qui sed.",88,169,completed,medium,2025-03-30,"2025-03-13 05:18:02"
"dolores temporibus dolorem","Vitae corporis voluptas distinctio. Omnis consequatur dolorem sed explicabo ut et. Sint culpa accusamus suscipit eum consequuntur voluptates quisquam.",72,197,planning,low,2025-04-03,
"commodi unde dicta","Sunt necessitatibus quisquam non facere accusamus dolores. Vero ea optio ipsam corporis quis quam. Et explicabo omnis aliquid ut ex ipsa sunt iure.",56,36,in_progress,critical,2025-04-01,
"id aut et","Veniam dolorum reiciendis cum a minus labore ipsam voluptatum. Ut rerum suscipit sapiente nesciunt. Provident tempora blanditiis consequatur dignissimos est et nihil.",5,70,in_progress,low,2025-03-28,
"eius consequatur voluptas","Ab nisi ipsa atque culpa voluptatum. Eligendi deserunt et sunt aliquam quos culpa sequi. Ab voluptatem et qui.",34,82,completed,medium,2025-03-28,"2025-03-08 01:15:58"
"et accusantium quia","Sed consequatur consectetur inventore quae asperiores tempore. Distinctio incidunt iure itaque rerum eos facilis molestiae. Dolorem atque cupiditate iusto asperiores maiores.",49,2,on_hold,medium,2025-04-02,
"omnis et et","Id tempore aut debitis nesciunt. Totam aliquam aut aut ut maxime voluptatem illo. Nam quo nesciunt a.",42,50,in_progress,low,2025-03-29,
"et corrupti voluptatem","Pariatur sed eaque laboriosam ducimus eligendi. Omnis sunt harum aliquid ratione molestiae et. Nostrum quia vero id est aut.",88,120,planning,critical,2025-03-30,
"officia sequi ut","Incidunt et velit sit officiis. A ratione nam quae et voluptatem. Blanditiis rerum corrupti velit.",12,172,cancelled,high,2025-03-31,
"necessitatibus esse et","Debitis aut in consectetur ut perferendis velit distinctio mollitia. Facere placeat nihil quos harum reiciendis mollitia natus. Non sit nihil aut vel sint quod facilis.",12,139,planning,low,2025-03-29,
"cupiditate hic aut","Voluptatem quae enim ut laborum. Voluptatem numquam et voluptatem dolorem eius eligendi. Omnis sunt voluptatem et earum quasi sit aliquid.",83,73,completed,low,2025-04-02,"2025-03-12 23:32:48"
"nostrum perferendis ut","Libero autem eveniet qui a ut quia. Id ut velit ad quia. Veritatis dolorem nemo libero aut et.",91,49,in_progress,medium,2025-03-31,
"maxime cupiditate sit","Dolorum hic quibusdam nulla porro. Voluptatem maxime quo repellat est ut consequatur. Dolore porro doloribus rem cupiditate exercitationem.",67,56,on_hold,medium,2025-03-30,
"pariatur consequatur sit","Rem et perspiciatis in sed. Natus tempore et odio repellat. Neque expedita incidunt quibusdam aliquam deserunt.",11,77,planning,medium,2025-03-29,
"dolores quam nihil","Et blanditiis dolorum reiciendis porro unde. Eveniet omnis dolores omnis minus repellat qui est. Similique vero labore porro.",56,179,completed,low,2025-03-29,"2025-03-06 16:39:29"
"autem nihil deserunt","Voluptates quia voluptatem iste ratione natus explicabo qui. Sapiente maxime quia veniam rerum voluptate dolorem. Non suscipit rerum maiores adipisci eligendi rerum neque repudiandae.",3,169,in_progress,medium,2025-03-29,
"autem dolores molestiae","Et explicabo rerum rerum aliquid eligendi aut. Alias quam cumque dolorum veritatis eligendi veniam. Voluptatem consequatur rerum aut nulla qui sed eum.",70,50,completed,critical,2025-03-29,"2025-03-10 22:36:00"
"aut sit recusandae","In earum optio aut enim. Quo ut nobis facilis harum. Et voluptatem quae porro aut reprehenderit nobis est.",82,73,planning,medium,2025-03-31,
"consequatur ut praesentium","Velit perferendis aut cumque accusantium et quam. Delectus doloremque deleniti aliquid provident. Ex impedit odit sunt reprehenderit quibusdam quo repudiandae.",64,20,cancelled,critical,2025-03-31,
"laboriosam facere et","Voluptates quia consequatur hic temporibus quia sint eum adipisci. Suscipit autem perferendis qui sapiente vitae. Enim dolores exercitationem fugit nihil.",29,8,completed,critical,2025-04-02,"2025-03-09 12:24:13"
"possimus nihil et","Nobis sint magnam nobis adipisci earum aut ut. Deleniti quaerat ducimus esse rem odio minus. Ut aut soluta ab illum quaerat.",90,19,on_hold,medium,2025-03-28,
"perspiciatis nisi atque","Qui id aut non voluptas. Perspiciatis ipsum nam eum excepturi itaque. Officiis ea ea provident inventore distinctio optio.",62,153,in_progress,low,2025-03-28,
"pariatur eum dolore","Quibusdam aut quis aspernatur at quia. Repellendus eveniet illo voluptatibus natus. Doloremque ea sit et sit minus aliquid.",47,101,on_hold,low,2025-04-01,
"possimus id tenetur","Eos totam pariatur quisquam velit odio cumque minima et. Sint rerum sunt esse ea tempora maiores perferendis. Sint aut et tempore quis voluptatibus.",94,108,planning,high,2025-04-01,
"vel laborum praesentium","Ipsam adipisci non quasi veritatis. Voluptatem optio eligendi voluptatem nihil aut soluta dolorum nihil. Id in sapiente assumenda rerum.",94,3,cancelled,high,2025-03-29,
"delectus eum ea","Sed ex aut est molestias eius qui. Voluptatum magni corrupti voluptatem. Consectetur perferendis accusamus officia soluta at magni dolorum.",73,114,planning,medium,2025-03-28,
"non in ut","Voluptas ducimus alias velit dolor dignissimos aut quia. Rem in qui occaecati harum. Dolorem asperiores aut et excepturi ut eos.",89,62,in_progress,medium,2025-03-27,
"est qui sed","Quia nulla dolorum deserunt. Quis in ea sed quaerat quia quia natus. Et quae velit et et esse.",82,197,on_hold,high,2025-04-03,
"perspiciatis placeat aut","Et exercitationem quasi aut quia sint ea. Adipisci cumque aut assumenda quod. Autem cumque eligendi et sit.",34,37,in_progress,low,2025-03-29,
"similique iusto rerum","Veniam sit occaecati officiis incidunt voluptatem consectetur saepe. In eius ad dolorum saepe. Aut iure dignissimos est sed.",28,71,completed,low,2025-04-01,"2025-03-12 17:33:28"
"delectus fuga incidunt","Et laborum vel ut soluta. Placeat deleniti sint sapiente ut. Nihil aliquam quis in in itaque non.",33,25,completed,medium,2025-03-27,"2025-03-09 22:28:44"
"facilis nam et","Accusamus quod animi veritatis enim. Possimus ullam corrupti aut aut suscipit vitae tempora. In occaecati incidunt enim ut tempore voluptatem ex.",50,130,cancelled,critical,2025-04-01,
"accusamus quas ipsum","Asperiores quaerat mollitia eaque esse quibusdam. Occaecati suscipit quae est. Tempora et deserunt repudiandae ipsa officia dicta mollitia.",84,200,on_hold,high,2025-04-02,
"repellendus ratione omnis","Quidem et voluptatem aliquam dolor dolore. At laboriosam suscipit asperiores non. Repudiandae quae et voluptatum reprehenderit.",24,70,in_progress,medium,2025-03-27,
"rerum optio nostrum","Aliquid ad minus impedit numquam est aut minima. Rerum eos et et. Iusto voluptatem ipsum est dolorem eaque magnam vel.",71,137,in_progress,low,2025-04-01,
"temporibus ut ut","Dolorum aliquam veniam quod veritatis. Illo labore nisi ipsam eius ea aut saepe adipisci. Praesentium quaerat soluta quis est.",81,5,completed,medium,2025-03-28,"2025-03-06 21:05:11"
"et quia voluptas","Esse doloremque ullam vel quae. Suscipit eum qui est ratione facere officiis sed. Id sint esse numquam quo autem autem id doloremque.",37,117,on_hold,medium,2025-03-31,
"dolorum voluptate vel","Mollitia ab in officia nesciunt. Non quos qui et. Quis et consequuntur rerum repellendus sed aut.",98,67,completed,critical,2025-03-29,"2025-03-06 16:57:22"
"sit est nihil","Accusantium qui consequatur est ut doloremque sit. Atque qui et qui est est ut est. Nam quo enim non.",18,196,completed,low,2025-03-28,"2025-03-07 19:50:28"
"et quasi sunt","Fuga praesentium nisi quibusdam quisquam ea eos. Aperiam explicabo perferendis ipsum minima sunt quia ut hic. Quibusdam velit cumque incidunt.",34,142,completed,critical,2025-03-29,"2025-03-12 22:53:15"
"hic laborum reprehenderit","Nulla odio veniam et quae dolor molestias tempore. Eveniet pariatur sit ratione quaerat quasi recusandae. Quo eum odio saepe voluptates dolore est et.",64,15,on_hold,low,2025-03-31,
"vel placeat est","Error et quidem et nam et. Sit quia illum vero aut quam architecto. Labore aut optio commodi.",80,134,in_progress,critical,2025-03-29,
"eos omnis aut","Nam iure velit soluta fuga rem iste. Sed consequuntur dignissimos quae animi. Est maiores porro sequi nihil quos.",14,54,planning,critical,2025-03-31,
"omnis consectetur dolor","Qui sit quia repudiandae non nulla qui. Id dolorum veritatis optio aspernatur quia est. Sequi illo qui libero ut cupiditate quas.",100,126,on_hold,critical,2025-03-27,
"ea harum ducimus","Repellat et quis incidunt maiores sit porro enim. Quibusdam adipisci neque nesciunt at vero sapiente. Voluptatem officiis perspiciatis non tenetur pariatur eum modi.",17,177,on_hold,high,2025-04-02,
"et praesentium distinctio","Est quidem minus amet rerum. Nisi est impedit et ut perspiciatis laudantium assumenda. Molestiae minus autem architecto velit id perspiciatis culpa.",7,57,in_progress,medium,2025-03-30,
"molestias asperiores eos","A dolores nulla vitae sint blanditiis blanditiis. Dolorem debitis hic ut itaque natus alias doloribus. Eum et maiores officiis molestiae placeat.",84,58,on_hold,low,2025-04-02,
"aut qui omnis","Explicabo officiis quo est saepe non non. Eligendi maiores assumenda et aut et repellat ratione. Enim provident rerum animi quia id.",82,126,cancelled,critical,2025-03-28,
"quis iste magni","Ea voluptatibus adipisci iste sed autem nobis accusamus rerum. Culpa velit quae inventore optio quam impedit sit. Est rem libero perferendis sint corporis.",34,178,completed,critical,2025-03-30,"2025-03-13 05:30:55"
"qui iste doloremque","Qui minima aut consectetur vero. Facere dignissimos asperiores voluptas et velit. Vitae excepturi sint voluptatem molestiae modi recusandae.",14,93,on_hold,medium,2025-04-03,
"ex qui repellendus","Eos soluta fugit saepe perspiciatis repellendus odio est. Error quibusdam qui amet facere. Rerum molestiae deserunt velit ut iure porro.",69,155,planning,critical,2025-03-31,
"culpa temporibus aperiam","Repellat sit veritatis et eius non aut. Repudiandae nobis dolor reiciendis nisi aspernatur doloremque aut. Impedit voluptate sint reprehenderit tempore est est enim.",95,29,planning,critical,2025-03-30,
"ipsum voluptates sit","Voluptatum sint molestiae aliquid quasi ipsa vero omnis. Id molestias esse rerum tempore quam. Sapiente quo quam asperiores.",9,152,on_hold,critical,2025-04-01,
"ipsa in deserunt","Vel optio et dolorem tempore. Sed maxime et voluptatem eum. Et est aliquid animi ullam.",87,57,on_hold,medium,2025-04-02,
"ipsam velit et","Dolores reiciendis officiis corrupti vero voluptas maxime. Odit repudiandae cupiditate in sed voluptas magni accusamus. Ut voluptatem labore quidem nam et.",22,67,cancelled,critical,2025-03-29,
"reprehenderit facilis qui","Et in quia et dicta rerum unde. Veritatis atque quas ut quas cumque. Ut impedit nulla officiis earum nemo voluptate fugit repellat.",90,30,planning,low,2025-03-29,
"fugiat alias facilis","Dolor suscipit iste et omnis. Temporibus asperiores consequatur quasi consequatur voluptatibus. Et voluptatem et cumque eos.",22,147,on_hold,critical,2025-03-30,
"totam a labore","Molestias eligendi nam amet accusamus eaque. Voluptas et sunt ratione facere non ea qui in. Non nisi qui laborum dolorem.",12,46,on_hold,high,2025-03-28,
"qui quibusdam nihil","Et ipsum voluptatem dolorum temporibus consequuntur perferendis expedita alias. Eveniet debitis nisi doloremque quae et velit. Sed architecto sunt esse corporis explicabo id vel eligendi.",62,124,planning,medium,2025-04-03,
"hic provident maxime","Beatae enim possimus ratione aliquid. Eum iusto voluptas sed maxime molestiae. Qui sint ipsam earum molestias nobis nisi.",79,89,planning,critical,2025-03-27,
"id natus quisquam","Quia est laboriosam eos nam earum iste. Pariatur ut eum laborum qui. Aut natus aliquam ut distinctio excepturi nulla et.",33,61,in_progress,critical,2025-03-28,
"maiores ab nam","Impedit necessitatibus occaecati voluptatem velit earum quo. Et officia qui odio repellendus rerum sit aut et. Consequuntur delectus deserunt molestias sint.",53,132,planning,medium,2025-04-01,
"esse minima laboriosam","Ipsam amet consequuntur voluptatem officiis ullam quis et. Aliquam voluptatum ipsa libero soluta est. Harum accusantium et voluptatem delectus quos tenetur.",4,36,completed,low,2025-03-28,"2025-03-13 06:40:14"
"et consequatur sapiente","Eveniet provident optio deleniti molestiae esse molestiae id occaecati. Quis odit reprehenderit esse quibusdam. Ipsa fuga quis quaerat est aliquid minima.",64,196,in_progress,critical,2025-03-31,
"eos dolor cumque","Suscipit deserunt nesciunt consectetur fugit odio autem placeat. At enim quibusdam fugit esse corrupti culpa in. Aperiam aut aut esse.",35,59,in_progress,medium,2025-03-27,
"nihil quos dolor","Qui dicta corrupti quia nihil expedita. Ipsum facilis at optio fuga. Dolorem libero pariatur excepturi totam iure sit eos.",71,16,completed,medium,2025-03-28,"2025-03-10 15:38:46"
"accusamus qui inventore","Unde inventore impedit sint aut labore nemo quisquam voluptate. Et dicta rerum sunt perspiciatis rem expedita autem quibusdam. Suscipit qui eos et voluptatem et consectetur.",100,57,on_hold,medium,2025-03-28,
"placeat unde amet","Quibusdam non quam quae modi. Animi iusto hic sit sit aut mollitia vero. Molestiae sit est impedit fugit qui et odit illo.",66,198,on_hold,high,2025-04-02,
"cum quis asperiores","Eos voluptatem aut deleniti aut. Laborum animi ut qui quo nesciunt. Dolorum odit aut aperiam accusantium quia architecto quia.",95,7,on_hold,medium,2025-03-27,
"expedita quia earum","Qui recusandae voluptas voluptate aut ut ut iusto. Et aut aliquid mollitia commodi ut. Ex pariatur repudiandae molestiae est.",24,168,planning,high,2025-04-03,
"recusandae perferendis voluptates","Distinctio doloribus et quaerat animi aut vero natus. Enim nesciunt autem et est voluptatum consequatur officiis. Dignissimos sunt dolorem expedita quam in.",97,113,completed,medium,2025-04-02,"2025-03-12 09:51:23"
"magnam minus officia","Libero sit necessitatibus est. Nemo iste repudiandae aliquam sed non. Qui ut temporibus voluptatem distinctio.",57,77,cancelled,low,2025-03-28,
"tempora alias consequuntur","Id sunt in quidem quaerat alias. Quae assumenda et impedit. Nihil aut nostrum hic libero eveniet cumque.",67,107,in_progress,medium,2025-04-02,
"dolorem sed atque","Non fugit et neque est molestiae nisi non. Ex deleniti eos mollitia eligendi debitis ipsam dolor. Placeat rerum mollitia unde totam maxime.",88,124,on_hold,medium,2025-03-31,
"corrupti nihil recusandae","Quisquam non expedita assumenda odio saepe sapiente labore. Qui recusandae tempora amet nesciunt accusamus explicabo eligendi. Eaque fugiat accusamus at deserunt.",87,169,on_hold,critical,2025-03-28,
"autem soluta aut","Ad sint praesentium voluptatibus. Possimus nisi ipsum quas est quaerat. Quam nisi similique eum velit exercitationem.",89,198,on_hold,medium,2025-03-30,
"omnis recusandae eaque","Dicta corporis amet sed consequatur consequatur accusamus asperiores. Dolorum laudantium sed voluptatem beatae praesentium esse quis. Et natus quia et atque unde.",45,7,on_hold,low,2025-04-01,
"reiciendis debitis aut","Esse voluptatem itaque quo corrupti quaerat soluta tempore delectus. Perferendis adipisci eos aut fugiat. Molestiae impedit nihil dolorem quas et.",52,152,cancelled,critical,2025-03-30,
"sit dolorem explicabo","Labore qui perferendis blanditiis voluptas cumque accusamus. Magni quos itaque iure sequi ipsam. Ut aut quibusdam quia.",94,197,cancelled,critical,2025-03-29,
"et ut eos","Et aliquam autem dicta eos modi animi qui expedita. Et id ut voluptatem officia ipsum. Sed sunt iusto minus similique odit.",92,132,completed,high,2025-03-29,"2025-03-12 13:19:58"
"voluptate sequi delectus","Inventore magnam vel non delectus enim dolor omnis. Sed sed animi vitae perspiciatis maxime eos. Doloribus est aliquid explicabo ex et sint.",95,166,planning,medium,2025-04-03,
"vel consequatur dicta","Nobis ullam cupiditate itaque ipsum libero cum est omnis. Sed distinctio id id aliquam deserunt. Est commodi quis voluptas et ut.",100,136,planning,medium,2025-03-29,
"et cupiditate cumque","Vero et voluptas vitae sed aut. Et harum ea ut adipisci doloremque numquam esse. Distinctio laborum soluta ut magni quas atque aliquid.",3,43,completed,medium,2025-03-29,"2025-03-12 06:45:18"
"quia dolorem quisquam","Dolor quam nemo expedita repellendus aut molestias repellendus. Aut magnam facere recusandae et porro voluptatibus. Inventore aut cumque veniam quo neque.",47,10,planning,critical,2025-03-30,
"omnis voluptatem harum","Eos qui aliquam nemo suscipit. Id est sunt quam. Porro eos error assumenda.",76,157,completed,critical,2025-04-03,"2025-03-10 12:27:02"
"temporibus consequuntur tempore","Et dolorem sed alias ea. Quis at sunt officiis corporis. Pariatur nisi hic qui ducimus dignissimos eos quas.",18,4,completed,critical,2025-03-29,"2025-03-10 16:34:16"
"molestiae ea nihil","Ullam rerum animi facilis quia sed quae eaque suscipit. Aut autem qui at pariatur magni. Voluptatem deserunt maiores totam unde esse et eligendi.",14,99,cancelled,critical,2025-03-31,
"libero ipsa nulla","Tempora voluptatem pariatur aut quae animi ut aspernatur. Sit facilis eius accusantium expedita voluptate. Consequatur a delectus molestiae ratione aut eos.",87,176,planning,low,2025-03-28,
"totam ut itaque","Ut officiis est reprehenderit nobis aut quo eaque. Animi quia quia similique velit rerum ipsa porro ducimus. Ipsam qui doloribus molestiae.",20,18,cancelled,low,2025-04-02,
"omnis quia dolores","Atque et consequatur omnis fugit. Saepe necessitatibus dolores rerum molestias quas consequatur quod. Eum aut magni quia qui earum.",93,136,on_hold,critical,2025-03-30,
"ea et a","Similique est iure reprehenderit amet est. Assumenda in voluptas tenetur commodi. Eligendi sunt mollitia rerum quo.",95,93,cancelled,medium,2025-03-29,
"ex quasi minima","Beatae consequatur assumenda rerum ut quia repellendus dolores quod. Voluptatem qui iure minima nesciunt. Impedit tempora ea praesentium reprehenderit.",36,83,planning,high,2025-03-28,
"modi suscipit porro","Ut nam molestias molestias voluptas similique non. Et maiores fugit ut incidunt sed modi. Quia voluptas necessitatibus mollitia molestiae eveniet.",93,153,completed,high,2025-04-03,"2025-03-10 23:34:11"
"vel totam nemo","Et maxime earum laborum. Non expedita itaque doloremque explicabo inventore magnam recusandae magnam. Qui nihil doloremque velit numquam laudantium odio.",90,131,completed,medium,2025-03-28,"2025-03-07 16:58:14"
